Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Pix Transmissions,"1,464.30",-0.61%,"1,465.20","6,307","2,007.40",17.69,25.16,"2,799.95","1,220.10",-0.92%,-3.76%,-8.79%,62.57%,45.25%,3.36,0.61%,16.84%,23.58%,69.41,"1,436.80","1,585.75",53.95,50.00%,-
Windlas Biotech,958.45,1.37%,955,"63,868","1,992.90",30.47,26.33,"1,198.25",665.1,1.95%,-3.33%,-7.32%,303.73%,135.40%,3.93,0.61%,10.60%,16.47%,28.52,955.78,944.79,56.54,50.00%,-
NELCO,870.05,-0.24%,868,"61,800","1,990.00",463.99,31.45,"1,502.75",706.95,-4.02%,-2.09%,-3.07%,6.53%,378.05%,15.56,0.11%,19.15%,18.66%,9.86,853.88,900.26,51.75,50.00%,65.00%
All Time Plastics,300.75,-0.66%,299.75,"1,26,583","1,983.20",41.86,37.5,334.9,256.8,10.43%,6.16%,6.16%,6.16%,6.16%,3.31,-,-,20.98%,-,286.17,-,63.65,-,70.00%
Mufin Green Finance,119.57,1.56%,123,"1,19,70,161","1,981.60",113.62,10.51,130,63.11,35.14%,37.04%,4.58%,-11.10%,-11.10%,6.76,-,5.28%,11.68%,1.11,91.08,83.57,82.14,60.00%,-
Thejo Engineering,"1,819.90",1.14%,"1,799.10","1,572","1,951.70",37.2,-43.57,"2,485.80","1,446.00",-0.93%,-21.16%,-18.81%,56.85%,309.58%,6.55,0.28%,21.79%,21.08%,48.48,"1,850.67","1,877.13",49.24,50.00%,-
Dynamic Cables,401.7,0.04%,404,"2,11,024","1,945.90",25.24,25.97,547.5,227.5,-0.63%,-2.33%,0.91%,351.09%,488.14%,4.75,0.06%,17.65%,26.48%,15.68,418.14,388.21,45.58,50.00%,-
Exicom Tele-Systems,137.35,-1.02%,138.76,"1,90,989","1,929.90",-9.13,34.77,360.92,125.47,-7.01%,-6.07%,-57.09%,-36.56%,-36.56%,2.21,-,-,-5.57%,-,144.61,165.22,37.75,60.00%,-
Orient Technologies,471.95,1.99%,462.75,"5,63,331","1,927.00",37.7,19.14,674.85,294.2,11.01%,47.72%,49.66%,56.07%,56.07%,5.85,0.39%,-,20.41%,-,387.57,371.22,60.11,60.00%,-
Yasho Industries,"1,669.70",5.00%,"1,600.00","20,640","1,917.30",156.59,25.14,"2,343.85","1,550.00",1.27%,-9.95%,-10.81%,-6.81%,-6.81%,4.56,0.03%,19.66%,8.84%,35.69,"1,687.32","1,831.35",57.64,50.00%,-
MSP Steel & Power,33.52,0.06%,33.12,"1,56,748","1,898.80",-108.16,22.42,49.62,21.6,-13.99%,1.27%,-29.51%,262.38%,458.67%,2.14,-,-,8.37%,-,35,30.81,40.77,50.00%,-
Divgi Torqtransfer Systems,624.1,0.77%,625,"15,709","1,894.20",69.49,80.72,712,410.1,-7.58%,2.63%,-3.96%,3.12%,3.12%,3.19,0.42%,6.85%,5.53%,11.53,653.07,573.2,41.9,50.00%,-
Indian Hume Pipe,364.75,1.87%,359.5,"17,747","1,886.30",3.43,-6.34,479,281.05,-2.46%,-12.59%,-16.73%,115.06%,135.55%,1.37,1.62%,9.36%,49.91%,19.03,369.62,379.79,52.35,50.00%,-
Somany Ceramics,457.95,-0.21%,460.9,"11,760","1,882.10",35.54,20.68,737,395.25,-1.14%,-12.70%,-29.65%,-15.18%,123.77%,2.44,0.65%,11.93%,12.15%,22.32,465.47,486.13,49.32,50.00%,-
Beta Drugs,"1,816.60",-2.07%,"1,840.00","1,995","1,872.50",44.15,60.61,"2,326.00","1,501.00",-0.73%,6.24%,-8.31%,151.10%,1487.94%,9.5,-,25.00%,19.18%,37.9,"1,830.49","1,788.15",50.24,-,-
Nitin Spinners,330.4,-0.56%,332.25,"29,825","1,867.90",10.69,23.33,494.35,290.5,1.82%,-8.72%,-20.83%,59.57%,554.26%,1.42,0.91%,16.02%,15.77%,25.74,333.79,360.44,49.98,50.00%,-
DCW,62.82,-0.70%,63.1,"5,87,719","1,867.20",53.65,22.29,113,62.5,-9.94%,-17.28%,-39.50%,40.38%,40.38%,1.81,0.16%,-1.06%,1.09%,0.46,70.41,76.41,34.27,63.22%,75.00%
Ador Welding,"1,085.20",1.26%,"1,071.70","16,423","1,865.10",34.45,16.28,"1,331.00",788,6.00%,10.03%,-17.50%,21.62%,357.41%,3.82,1.85%,16.01%,17.51%,36.6,"1,020.86",977.89,50.76,68.34%,-
Rhetan TMT,23.46,0.64%,23.3,"9,16,828","1,857.50",389.33,22.42,23.7,20.32,7.91%,10.19%,10.19%,10.19%,10.19%,19.93,-,-,4.86%,-,-,-,71.21,-,-
GTL Infrastructure,1.45,-,1.45,"1,50,23,274","1,857.30",-2.06,21.46,2.49,1.28,-3.33%,-5.23%,-31.28%,11.54%,141.67%,-0.3,-,21.15%,8.82%,-,1.49,1.58,42.93,-,-
SP Apparels,709.4,-4.08%,739.55,"24,699","1,855.70",18.97,47.97,995,628,-2.89%,-9.17%,-23.70%,88.24%,437.83%,2.17,-,12.37%,16.54%,36.96,725.02,779.19,46.27,50.00%,-
Southern Petrochemical Industries,92.03,1.30%,90.85,"5,19,072","1,850.10",11.6,34.91,128.2,66.22,-3.30%,-0.81%,18.46%,51.24%,435.06%,1.55,2.20%,30.51%,21.00%,8.47,99.78,87.62,46.96,50.00%,70.00%
Huhtamaki PPL,246.58,0.83%,245.5,"2,53,129","1,846.80",18.6,13.58,316,170.56,3.60%,13.45%,-14.08%,13.01%,-10.80%,1.51,0.82%,12.25%,13.88%,14.49,237.41,215.68,50.03,66.69%,-
Apcotex Industries,351.2,-1.04%,356.25,"10,962","1,840.00",31.42,25.16,444,286.95,-7.32%,-17.59%,-10.12%,-31.35%,141.29%,3.32,1.84%,20.58%,20.10%,10.91,383.77,363.98,36.65,50.00%,-
Fusion Finance,187.23,2.83%,183,"5,77,793","1,839.30",-1.43,10.51,225.61,123.96,-3.08%,16.76%,-11.03%,-40.47%,-40.47%,1.12,-,16.67%,-3.59%,34.7,182.68,170.78,53.99,50.00%,60.00%
Unitech Group,7.24,4.17%,6.95,"1,96,72,017","1,818.30",-0.67,-6.34,11.99,5.5,-4.23%,1.97%,-28.53%,291.35%,436.30%,-0.27,-,-,4.72%,-,7.13,7.36,53.39,-,-
Spandana Sphoorty Financial,249,-2.01%,251.55,"1,22,415","1,811.90",-1.25,10.51,494.18,183.54,-5.47%,-2.35%,-34.88%,-57.67%,-51.87%,0.69,-,13.74%,-5.39%,61.28,254.23,265.97,46.48,50.00%,70.00%
Talbros Automotive Components,294.75,0.60%,291.3,"1,02,033","1,808.60",18.83,80.72,352.7,200.2,-1.06%,2.45%,-3.50%,202.28%,1144.20%,2.86,0.24%,15.12%,19.51%,13.52,289.35,274.98,51.09,50.00%,-
Arihant Superstructures,404.15,-2.87%,414.6,"35,757","1,799.60",26.22,-6.34,553.6,322.9,2.32%,-6.78%,17.04%,80.55%,1843.03%,5.33,0.34%,20.38%,9.86%,12.4,408.75,408.62,40.52,50.00%,-
Indo Rama Synthetics,73.88,7.34%,68.9,"22,03,378","1,797.20",24.52,4.04,74.25,32,18.51%,48.00%,74.33%,30.65%,213.05%,4.89,-,-,20.28%,-,57.93,46.75,73.9,-,-
BF Investment,470.7,-0.88%,474.8,"21,624","1,788.80",22.87,10.51,829,406,-2.95%,-0.58%,-27.97%,66.00%,79.25%,0.26,-,6.99%,3.98%,115.17,471.9,490.99,43.38,50.00%,-
SEPC,11,-2.14%,11.25,"51,22,541","1,787.30",53.62,22.37,26.68,10.9,-9.54%,-7.25%,-55.38%,57.37%,245.91%,1.23,-,-0.45%,4.38%,0.15,11.82,13.4,33.44,50.00%,-
Indo Tech Transformers,"1,704.60",1.36%,"1,689.90","8,276","1,786.10",23.17,34.77,"3,771.95","1,525.00",-5.67%,3.67%,-26.91%,675.35%,1834.85%,6.37,-,-,30.43%,-,"1,767.24","2,087.53",45.19,11.00%,-
IFGL Refractories,250.44,1.23%,246.5,"40,080","1,783.20",61.26,35.82,338,163.03,-12.17%,5.62%,-11.80%,101.00%,253.48%,1.61,1.41%,7.62%,6.10%,21.29,256.59,228.06,44.3,50.00%,-
DEE Development Engineers,258.75,0.33%,259,"2,61,705","1,782.80",33.29,22.42,360,167,-5.17%,-4.71%,-3.18%,-22.83%,-22.83%,2.23,-,3.06%,10.51%,3.8,273.44,266.08,41.93,60.00%,-
Navkar Corporation,119.03,0.63%,118.76,"2,34,398","1,780.50",-76.85,25.16,176.43,80.54,-4.78%,-5.73%,-8.77%,109.38%,378.99%,0.92,-,5.91%,7.11%,-,122,114.74,45.05,50.00%,-
Salasar Techno Engineering,10.42,1.26%,10.3,"1,70,31,531","1,776.80",73.57,22.42,20.2,6.91,16.69%,46.76%,-39.98%,85.08%,413.30%,2.26,-,10.04%,11.00%,0.31,9.01,9.08,64.4,50.00%,-
Solex Energy,"1,723.20",5.00%,"1,675.00","40,425","1,772.90",41.43,34.77,"1,826.35",630.9,1.32%,28.60%,12.01%,444.45%,5285.00%,11.04,0.03%,-,28.86%,-,"1,479.57","1,168.26",67.06,-,-
Precision Camshafts,186.2,-0.24%,186.64,"1,31,737","1,772.80",28.97,80.72,382.8,145,-8.12%,4.34%,-39.21%,73.61%,468.55%,2.24,0.54%,5.39%,10.98%,3.73,196.55,202.46,42.09,50.00%,-
Sumeet Industries,34.08,1.31%,33.6,"1,49,751","1,770.60",9.46,4.04,181.7,10.66,-10.46%,-72.35%,204.56%,3026.61%,7825.58%,11.25,-,-,70.33%,-,30.73,12.89,50.22,-,-
GOCL Corporation,355,0.27%,356,"42,057","1,755.10",1.31,25.14,443.2,245,-1.70%,0.85%,-12.93%,34.37%,101.93%,1.12,2.82%,14.98%,8.43%,15.79,359.66,335.88,47.93,50.00%,-
NIBE,"1,191.90",-1.36%,"1,230.00","32,513","1,752.20",85.02,-43.57,"2,001.00",761.5,-18.59%,-25.80%,-25.17%,-25.17%,-25.17%,7.23,0.10%,-,15.44%,-,"1,285.34",-,32.58,0.00%,-
Satin Creditcare,154.03,-1.65%,156.61,"2,93,422","1,730.10",12.87,10.51,175.9,131.8,1.58%,6.17%,-4.07%,4.29%,192.55%,0.68,-,18.16%,12.80%,41.04,146.4,151.24,60.07,50.00%,-
Sanstar,95.12,0.21%,95.24,"1,05,777","1,729.90",25.94,25.16,137.8,80,-0.22%,7.25%,-20.21%,-17.34%,-17.34%,2.82,-,26.31%,31.75%,3.62,92.58,94.35,49.98,60.00%,-
Wendt,"8,545.50",-1.13%,"8,644.00","8,480","1,728.70",62.62,-245.26,"18,033.65","8,162.00",-6.36%,-14.96%,-43.41%,11.23%,186.19%,7.09,0.58%,19.31%,20.87%,198.05,"9,308.37","9,924.21",34.15,50.00%,-
Tinna Rubber and Infrastructure,945.15,-1.41%,958.65,"25,841","1,727.10",39.54,25.16,"1,088.85",795,-3.56%,0.81%,-7.44%,-7.44%,-7.44%,6.73,0.40%,-,29.11%,-,914.05,-,45.2,50.00%,-
Laxmi Dental,325.2,3.50%,312.7,"1,26,570","1,726.90",74.15,32.94,584,302,-1.41%,-23.41%,-40.93%,-40.93%,-40.93%,8.29,-,-,16.33%,-,327.04,-,52.91,65.00%,-
DAM Capital Advisors,247.65,1.41%,244.88,"2,46,309","1,726.20",21.09,10.51,456.9,195.55,3.34%,12.64%,-40.34%,-40.34%,-40.34%,6.55,0.41%,-,52.07%,-,238.92,245,51.42,65.00%,70.00%
Quick Heal Technologies,325.3,2.46%,318.5,"1,98,456","1,719.10","-2,270.00",19.14,707,245,5.41%,2.09%,-45.89%,76.65%,103.06%,3.86,-,1.52%,0.27%,7.66,315.72,337.94,53.23,59.23%,-
Shanti Gold International,245.6,3.11%,244.75,"18,43,441","1,717.30",24,39.24,274.1,195.42,15.04%,8.08%,7.07%,7.07%,7.07%,3.35,-,-,49.51%,-,220.15,-,72.54,-,70.00%
Arman Financial Services,"1,650.60",1.18%,"1,620.00","20,334","1,715.00",277.06,10.51,"1,834.60","1,109.95",9.41%,1.48%,11.85%,5.43%,185.13%,1.96,-,25.65%,15.05%,165.64,"1,520.87","1,497.35",57.48,50.00%,-
TAC Infosec,856.85,5.00%,843,"54,400","1,710.40",115.42,19.14,"1,697.00",680,-25.08%,-5.15%,17.58%,181.40%,181.40%,30.96,-,-,28.68%,-,617.48,593.55,72.13,-,-
Vidhi Specialty Food Ingredients,335.8,-0.64%,335.1,"6,091","1,687.90",35.13,-63.79,569.15,328,-6.68%,-15.70%,-28.59%,-13.16%,151.44%,5.56,1.05%,15.04%,20.18%,7.31,363.9,418.34,32.29,50.00%,-
JG Chemicals,420.65,-1.87%,431,"93,157","1,679.70",25.05,25.14,558,280.45,-0.48%,-14.00%,18.33%,127.62%,127.62%,3.62,0.23%,26.60%,19.08%,11.24,444.91,395.42,43.62,60.00%,-
Sanghi Industries,66.4,2.12%,65.1,"7,51,133","1,679.60",-3.48,36.01,90.99,50.58,1.81%,-2.60%,-24.55%,16.59%,120.60%,2.75,-,-40.40%,-7.22%,-,64.6,61.91,60.42,50.00%,-
Jindal Drilling & Industries,588.25,2.24%,571.95,"1,21,885","1,667.40",7,-222.08,990.35,528,-1.03%,-3.74%,-17.11%,83.91%,739.16%,1.05,0.17%,3.75%,15.00%,28.61,593.87,693.72,55.4,50.00%,70.00%
TTK Healthcare,"1,175.40",-0.22%,"1,196.00","2,045","1,664.60",25.05,58.25,"1,594.95","1,101.05",2.16%,-3.43%,-23.62%,31.73%,174.11%,1.54,0.85%,6.28%,10.43%,44.94,"1,161.59","1,220.42",53.35,50.00%,-
Motisons Jewellers,16.6,-1.54%,16.86,"18,54,749","1,659.80",36.7,39.24,33.8,15.4,-10.03%,-20.80%,-43.36%,60.23%,60.23%,4.48,-,-,15.93%,-,18.3,19.43,30.37,50.00%,-
Bliss GVS Pharma,155.26,-1.02%,156.09,"1,09,397","1,656.60",14.7,26.33,190.97,108.12,2.56%,-13.64%,25.15%,107.57%,-7.64%,1.58,0.32%,8.13%,11.85%,9.74,154.19,144.04,52.59,50.00%,-
Suraksha Diagnostic,316.75,-0.38%,315.15,"17,746","1,655.90",50.93,32.94,449,231,5.87%,7.01%,-24.09%,-24.09%,-24.09%,7.84,-,-,17.12%,-,307.33,308,58.53,65.00%,-
PNB Gilts,90.76,-1.34%,91.69,"2,40,862","1,655.90",9.22,10.51,125.25,74.25,-9.12%,-15.53%,-24.16%,49.15%,111.07%,1.01,1.09%,-6.13%,6.78%,3.51,97.66,95.91,40.33,50.00%,60.00%
Danish Power,858,2.10%,826.05,"22,650","1,654.80",28.73,34.77,"1,316.00",650,1.94%,-9.60%,17.96%,43.36%,43.36%,5.17,-,-,25.92%,-,867.33,909.79,52.07,-,-
SPML Infra,232.37,0.87%,228.2,"1,14,755","1,651.50",35.35,-6.34,323.4,136.3,-4.91%,-18.52%,7.42%,691.72%,2716.61%,2.3,-,-,6.94%,-,254.36,219.65,46.15,50.00%,-
Orient Green Power,14.34,2.14%,14.29,"58,39,522","1,646.90",28.63,7.39,19.7,10.96,7.82%,4.75%,-23.44%,77.92%,701.12%,1.53,-,4.91%,7.00%,0.25,13.61,13.57,68.21,50.00%,-
Everest Kanto Cylinder,144.49,-1.28%,146.9,"1,60,014","1,642.30",13.54,13.58,231.57,103,-0.09%,10.45%,-20.14%,30.88%,403.45%,1.36,0.48%,8.87%,10.78%,9.56,142.74,135.84,49.77,50.00%,-
Aimtron Electronics,880.45,9.76%,819,"1,57,200","1,637.50",63.87,44.1,838.85,358,25.28%,19.98%,89.49%,247.94%,247.94%,10.57,-,-,20.74%,-,718.37,598.83,74.62,-,-
JNK India,287.85,-1.59%,292.5,"42,978","1,636.70",65.73,-43.57,710,264.8,3.67%,-14.19%,-55.11%,-58.56%,-58.56%,3.25,0.10%,-,11.24%,-,295.41,354.57,43.73,50.00%,-
Panama Petrochem,271.45,1.31%,267,"70,839","1,620.90",9.04,22.29,416.2,266.4,-4.32%,-22.47%,-26.74%,-9.65%,423.53%,1.29,1.12%,17.70%,18.99%,32.97,290.1,344.12,39.51,67.60%,-
Suryoday Small Finance Bank,154.82,1.53%,153.25,"5,26,308","1,620.70",20.19,9.4,162.95,97.97,1.86%,22.47%,3.88%,60.69%,-44.27%,0.83,-,4.90%,6.35%,22.44,137.71,129.21,61.78,65.09%,-
Vindhya Telelinks,"1,387.70",1.60%,"1,376.00","7,178","1,618.60",6.97,-6.34,"2,286.00","1,160.30",-3.57%,-10.53%,-30.35%,2.65%,100.75%,0.42,1.17%,7.11%,7.17%,213.76,"1,447.15","1,519.16",44.23,50.00%,-
D-Link,452.5,-0.53%,454,"42,550","1,615.10",15.41,42.65,645.1,349.45,-7.16%,-12.29%,-18.23%,72.12%,336.35%,3.4,4.39%,21.29%,29.43%,26.84,476.86,478.18,37.02,50.00%,-
IKIO Technologies,211.67,1.51%,207.26,"49,657","1,611.50",72.02,34.77,304,166,-2.69%,7.53%,-22.01%,-52.48%,-52.48%,2.88,-,10.96%,8.59%,7.65,213.81,216.36,50.79,50.00%,-
Seshasayee Paper & Boards,259.85,1.74%,255.4,"17,640","1,610.80",19.84,14.2,335.25,248.35,-1.42%,-3.38%,-14.72%,-15.23%,101.04%,0.8,0.93%,14.17%,6.53%,37.42,261.82,277.01,53.79,50.00%,-
Shriram Properties,95.4,1.44%,94,"11,27,485","1,602.20",19.95,-6.34,119.72,63.13,5.64%,3.17%,-9.15%,29.18%,-4.22%,1.18,-,5.69%,13.50%,4.43,90.79,87.13,62.3,50.00%,70.00%
Rama Steel Tubes,10.12,-1.08%,10.27,"52,42,584","1,594.10",78.92,22.42,14.9,8.5,-1.08%,-8.42%,-24.02%,0.10%,1615.25%,3.67,-,10.41%,10.61%,0.2,10.16,10.84,50.86,50.00%,60.00%
Finkurve Financial Services,112.21,-1.20%,112.98,"2,675","1,590.20",73.13,10.51,134.9,105,-10.57%,-1.63%,-1.63%,-1.63%,-1.63%,9.23,-,-,16.39%,-,-,-,68.7,-,-
Igarashi Motors,501.7,-0.57%,503,"20,570","1,588.20",85.81,34.77,848.95,401.05,-3.89%,-14.64%,-29.81%,24.69%,84.28%,3.41,0.50%,2.14%,8.99%,5.18,505.53,527.33,44.95,50.00%,-
BLS E-Services,199.85,14.44%,174.5,"1,31,71,050","1,586.60",24.74,19.14,249,131.31,7.00%,3.89%,-6.73%,-45.40%,-45.40%,3.26,0.58%,-,15.26%,-,181.57,178.79,65.02,-,-
Updater Services,233.65,-1.23%,238.95,"1,99,495","1,583.90",12.95,25.16,438.6,219.33,-9.73%,-20.13%,-43.43%,-17.70%,-17.70%,1.65,-,7.83%,14.15%,12.24,246.44,287.32,42.73,50.00%,-
Jagran Prakashan,72.51,-0.23%,72.55,"82,719","1,581.90",13.22,12.08,90.51,65.01,0.54%,-2.55%,-18.32%,-0.40%,91.83%,0.81,8.25%,10.19%,7.12%,8.28,71.85,72.72,54.27,50.00%,-
Den Networks,33.6,1.48%,33.4,"2,68,626","1,580.10",8.33,12.08,49.44,28.14,-4.63%,-12.55%,-29.02%,2.44%,-51.83%,0.43,-,7.26%,6.78%,4.56,34.74,35.33,47.16,50.00%,-
Stanley Lifestyles,278.1,0.71%,276.15,"24,725","1,577.50",47.54,25.16,493.95,258.6,-6.94%,-13.16%,-41.62%,-41.42%,-41.42%,3.4,-,15.63%,8.45%,5.28,295.61,320.37,32.61,60.00%,-
Expleo Solutions,"1,013.00",-0.15%,"1,018.00","2,114","1,574.60",15.83,19.14,"1,567.45",735.35,0.88%,-13.84%,-17.47%,-19.87%,98.08%,2.48,4.91%,14.80%,20.76%,60.67,"1,014.38","1,051.97",49.15,50.00%,-
Rishabh Instruments,403.6,-1.49%,405,"26,271","1,573.60",42.32,34.77,490,201.5,-2.26%,42.36%,14.76%,-8.92%,-8.92%,2.61,-,-,5.04%,-,412.63,307.61,52.83,-,-
HMA Agro Industries,31.54,0.38%,31.55,"4,78,412","1,573.40",18.02,20.33,49.1,27.75,1.55%,1.61%,-35.72%,-46.15%,-46.15%,2,0.95%,24.97%,17.71%,2.01,30.93,32.49,60.51,50.00%,-
Rajoo Engineers,87.66,-0.11%,89.48,"5,55,885","1,568.10",29.22,-43.57,145.88,79.97,1.66%,-18.05%,-34.00%,-34.00%,-34.00%,4.8,0.16%,-,28.52%,-,92.92,-,46.27,36.00%,-
Rupa & Company,192.88,-1.68%,196.17,"93,996","1,560.00",19.93,47.97,291.8,173.55,-7.14%,-6.98%,-26.30%,-37.97%,2.22%,1.53,1.53%,5.89%,12.74%,9.9,199.51,205.09,36.68,50.00%,-
Megasoft,221.9,5.00%,219.8,"1,52,025","1,559.10",12.85,54.8,214,49.06,43.08%,87.70%,198.69%,443.21%,3525.82%,13.64,-,-,9.01%,-,157.7,100.42,79.67,-,-
Jyoti Structures,12.93,-0.92%,13.05,"70,93,266","1,553.90",37.4,21.46,37.03,13,-15.66%,-22.06%,-63.92%,-4.86%,306.60%,2.83,-,-113.09%,1.41%,0.36,15.07,17.75,32.96,57.58%,70.00%
Centrum Capital,33.12,-1.87%,33.75,"2,16,532","1,551.10",-11.68,10.51,41.9,22.4,-5.21%,-16.68%,0.42%,38.58%,94.82%,3.64,-,-,7.82%,-,35.26,31.62,43.46,-,-
Syncom Formulations,16.63,1.16%,16.37,"12,33,058","1,545.40",27.05,26.33,23.87,14.1,-1.54%,-9.08%,-18.24%,105.31%,105.31%,4.53,-,-,18.75%,-,16.97,17.79,47.33,-,-
Antony Waste Handling Cell,522.85,-3.96%,543,"1,44,227","1,545.10",15.12,25.16,859.4,459.7,-5.21%,-14.36%,-34.50%,70.75%,28.35%,2.42,-,13.71%,13.55%,30.11,558.72,574.42,41.45,50.00%,60.00%
Himatsingka Seide,125,1.76%,122.01,"2,94,179","1,544.60",23.27,47.97,231.3,107.68,5.02%,-7.63%,-22.02%,23.82%,4.04%,0.76,0.20%,-4.42%,9.53%,10.59,122.29,141.66,56.99,61.74%,75.00%
Andhra Paper,78.59,1.18%,77.67,"68,075","1,544.50",18.73,14.2,107.99,65.1,-7.88%,0.87%,-22.54%,-17.48%,112.06%,0.8,1.29%,17.95%,6.24%,62.58,78.77,78.44,50.27,60.00%,-
Tarsons Products,289.1,0.02%,290,"40,252","1,537.90",55.86,25.16,464.3,280,-4.96%,-22.92%,-30.93%,-62.90%,-64.67%,2.44,-,20.55%,7.10%,8.01,305.67,348.58,25.86,50.00%,-
Ivalue Infosolutions,282.4,-1.24%,284,"2,19,934","1,531.00",17.93,19.14,305.45,250.7,-4.03%,0.20%,0.20%,0.20%,0.20%,3.29,-,-,25.22%,-,-,-,53.22,-,75.00%
Manaksia Coated Metals & Ind,162.94,6.85%,152.99,"19,33,671","1,520.10",42.58,22.42,182.82,57,17.32%,2.97%,173.11%,831.09%,4132.21%,4.83,0.02%,-,17.30%,-,148.41,119.25,55.5,-,-
Platinum Industries,277.25,0.36%,276.25,"63,041","1,517.30",33.51,25.14,502.05,225,-4.58%,-1.81%,-34.10%,25.34%,25.34%,3.97,-,52.52%,17.39%,9.06,286.08,281.26,44.84,50.00%,-
Alicon Castalloy,963.8,3.78%,928,"43,149","1,517.20",41.72,21.69,"1,366.45",597.15,12.01%,9.68%,-23.80%,11.15%,222.66%,2.55,0.59%,10.54%,14.43%,43.55,865.51,838.24,63.53,50.00%,-
InfoBeans Technologies,629.6,1.75%,618.8,"81,346","1,513.30",23.59,19.14,727.7,270.55,24.07%,13.79%,50.91%,13.54%,377.51%,4.51,0.16%,7.60%,14.62%,10.98,554.73,424.16,67.16,50.00%,-
Vascon Engineers,69.42,4.20%,66.62,"51,40,040","1,507.50",10.54,-6.34,74.59,31.98,-2.28%,24.25%,28.58%,127.61%,736.39%,1.39,-,10.75%,13.91%,3.04,61.64,50.17,59.08,50.00%,-
DCM Shriram Industries,172.1,-0.48%,173.39,"58,986","1,504.40",17.32,18.94,214,142.11,-1.94%,0.50%,-5.55%,120.08%,92.51%,1.68,1.15%,14.15%,17.18%,13.76,167.63,168.85,51.5,50.00%,-
Bajaj HealthCare,475.05,-0.11%,475.1,"84,073","1,501.90",32.77,54.8,745,358.9,-1.86%,0.17%,29.55%,30.28%,30.89%,3.09,0.21%,11.70%,13.18%,10.38,453.16,540.39,55.4,50.00%,70.00%
Hi-Tech Gears,774.05,-3.01%,805,"3,122","1,499.80",46.7,80.72,912.8,515,2.14%,7.42%,-2.45%,243.41%,662.99%,3.1,0.63%,-,13.59%,-,743.2,683.5,45.8,-,-
Asian Energy Services,332.55,-0.54%,333.5,"46,569","1,497.00",32.71,-222.08,418,215,-1.39%,-6.42%,-8.60%,341.34%,132.47%,4.16,0.30%,-22.28%,14.51%,7.82,347.59,310.75,44.02,50.00%,-
Dolphin Offshore,446.1,20.00%,409.95,"2,72,340","1,487.20",29.14,-222.08,661.35,201,13.17%,9.11%,-26.54%,3796.07%,3796.07%,5.38,-,-,11.16%,-,398.66,377.84,73.07,-,-
MM Forgings,313.25,2.42%,305.85,"50,320","1,476.70",13.28,21.69,582,288.1,0.37%,-9.12%,-36.06%,-21.34%,104.43%,1.65,1.31%,17.11%,14.43%,27.88,315.05,351.81,53.18,50.00%,-
Vinyas Innovative Technologies,"1,152.90",-1.46%,"1,172.00","6,300","1,472.40",75.83,44.1,"1,440.00",575.8,-1.98%,-14.22%,41.97%,232.73%,232.73%,10.02,-,-,24.30%,-,"1,216.55","1,005.79",39.57,-,-
Asian Granito,66.06,4.11%,63.2,"19,09,518","1,471.50",78.96,20.68,78.95,39.15,13.06%,14.73%,-3.25%,16.61%,-63.55%,1.01,-,-,2.33%,-,60.35,55.89,68.39,-,-
Astec Lifesciences,672.25,1.85%,669,"27,985","1,470.70",-12.91,-23.88,"1,254.26",629.78,-15.51%,-23.98%,-37.27%,-68.41%,-36.59%,3.11,-,-12.69%,-20.22%,-,792.24,800.24,29.82,50.00%,-
Omaxe,81.12,0.96%,80.67,"72,110","1,469.60",-2.03,-6.34,127.44,68.91,-3.54%,-15.59%,-30.57%,-6.81%,23.00%,-3.42,-,-,-61.52%,-,84.27,87.41,44.73,50.00%,-
Renaissance Jewellery,137.63,0.77%,135.5,"6,83,288","1,465.30",22.57,39.24,207.4,103.01,14.19%,17.56%,-20.93%,27.08%,212.51%,1.05,-,6.41%,8.71%,7.67,123.27,128.2,63.4,50.00%,-
Unicommerce eSolutions,130.89,-0.37%,130.1,"1,47,972","1,463.00",81.08,19.14,218.5,96.03,-9.88%,11.29%,-33.44%,-37.70%,-37.70%,8.9,-,18.98%,28.26%,1.27,139.79,131.54,41.99,60.00%,-
Master Trust,132.31,1.87%,129.16,"7,58,571","1,458.10",11.91,10.51,197,105.2,-18.28%,-14.68%,-24.51%,-24.51%,-24.51%,2.38,-,-,29.08%,-,143.8,142.58,43.37,50.00%,-
Monte Carlo Fashions,731,4.28%,700.9,"1,05,077","1,453.30",18.53,47.97,986,518.05,6.25%,25.88%,-5.30%,-0.48%,299.56%,1.74,2.86%,17.07%,14.92%,28.7,653.26,613.34,71.69,50.00%,-
Deccan Cements,"1,031.60",-0.35%,"1,035.20","12,013","1,450.10",72.33,60.26,"1,164.90",549.8,-4.62%,-0.65%,78.85%,106.30%,234.83%,2.01,0.06%,7.17%,1.77%,28.97,"1,064.57",874.53,46.48,50.00%,-
ESAF Small Finance Bank,27.98,-0.43%,28.4,"2,16,994","1,448.60",-2.18,9.4,46.02,24.31,-6.48%,-9.57%,-36.85%,-59.48%,-59.48%,0.74,-,17.08%,4.11%,6.96,29.08,30.77,41.14,50.00%,-
