Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Clean Science & Technology,"1,014.90",0.60%,"1,012.70","9,05,489","10,720.90",39.93,25.14,"1,600.00","1,007.00",-6.48%,-15.64%,-32.46%,-36.32%,-35.98%,7.57,0.59%,20.28%,24.59%,23.62,"1,109.92","1,264.70",33.11,69.02%,80.00%
BlueStone Jewellery & Lifestyle,711.05,0.43%,707.95,"5,69,298","10,713.50",-48.27,39.24,793,508.1,16.21%,30.23%,30.23%,30.23%,30.23%,6.26,-,-,-0.78%,-,636.27,-,56.49,-,60.00%
Tata Teleservices Maharashtra,56.01,2.62%,54.59,"35,95,100","10,670.00",-8.43,31.45,88.9,50.1,-0.92%,-4.21%,-22.43%,-45.20%,587.24%,-0.54,-,-,-4.84%,-,56.65,62.38,50.08,-,-
HFCL,77.51,5.44%,73.8,"3,04,86,532","10,605.10",334.18,39.33,135.93,68.56,2.16%,3.33%,-35.06%,-4.37%,358.64%,2.57,0.14%,10.10%,8.62%,2.59,74.15,82.16,55.07,69.54%,65.00%
Star Cement,259.75,1.11%,257,"2,86,999","10,595.30",43.96,36.01,308.95,171.55,2.18%,-1.18%,27.14%,142.30%,213.90%,3.6,-,10.25%,8.01%,5.76,268.98,233.03,49.26,50.00%,70.00%
IIFL Capital Services,337.45,-1.16%,342.9,"5,47,715","10,592.30",15,10.51,386.9,180,14.53%,6.18%,1.72%,1.72%,1.72%,4.22,0.88%,28.71%,35.99%,20.11,311.9,281.34,53.36,50.00%,70.00%
Prudent Corporate Advisory Services,"2,587.90",1.27%,"2,581.10","21,384","10,581.50",52.03,10.51,"3,700.00","1,570.00",-2.17%,-0.52%,-12.44%,224.36%,360.69%,15.84,0.10%,33.34%,37.36%,37.41,"2,742.72","2,529.72",41.73,50.00%,65.00%
KPI Green Energy,538.8,0.65%,535,"8,12,974","10,563.70",28.51,7.39,588.8,313.4,19.05%,-0.13%,-2.81%,576.88%,3726.70%,4.36,0.15%,-,13.02%,-,481.48,457.04,76.13,50.00%,75.00%
Sandur Manganese & Iron Ores,225.58,4.01%,218.09,"52,44,205","10,542.60",21.36,19.8,237.88,112.4,15.96%,50.79%,52.90%,154.26%,154.26%,4.03,0.19%,14.02%,18.11%,21.24,179.62,158.26,64.29,50.00%,70.00%
Healthcare Global Enterprises,752.9,0.77%,747,"1,11,689","10,534.80",256.35,32.94,804.65,440.25,16.91%,23.17%,68.47%,151.68%,524.81%,11.42,-,2.03%,8.47%,3.57,688.04,583.79,60.86,50.00%,70.00%
Le Travenues Technology (IXIGO),257.5,-4.51%,269,"31,89,335","10,527.20",247.94,42.83,339.15,117,-10.09%,6.14%,77.52%,39.29%,39.29%,6.12,-,6.04%,12.97%,1.27,295.58,200.18,32.18,60.00%,70.00%
Safari Industries,"2,154.30",0.91%,"2,129.90","59,166","10,458.50",70.02,1.38,"2,744.70","1,670.15",-0.90%,2.68%,-2.77%,131.83%,900.00%,10.93,0.14%,21.35%,18.64%,34.92,"2,177.55","2,149.22",48.36,50.00%,80.00%
Shaily Engineering Plastics,"2,291.30",0.73%,"2,274.10","1,24,366","10,452.90",89.41,37.5,"2,670.00",969.95,5.08%,37.62%,134.04%,514.21%,467.57%,19.07,0.09%,-,22.13%,-,"2,297.52","1,818.36",45.75,50.00%,-
Jupiter Life Line Hospital,"1,569.30",-1.20%,"1,585.10","37,849","10,413.90",53.97,32.94,"1,770.00","1,266.00",5.76%,8.24%,13.87%,45.88%,45.88%,7.67,0.06%,15.11%,15.31%,25.35,"1,490.21","1,491.91",58.19,50.00%,-
Sonata Software,371.7,0.50%,370.25,"2,66,050","10,371.50",24.23,19.14,687.1,286.4,6.32%,3.51%,-39.06%,42.84%,209.26%,6.09,1.18%,21.94%,30.13%,14.74,368.4,400.63,52.29,63.79%,80.00%
Genus Power Infrastructures,351.5,3.11%,340,"14,59,250","10,367.20",25.92,44.1,486.05,236.85,12.16%,-8.13%,-13.63%,299.20%,1259.77%,5.55,0.72%,3.02%,19.95%,3.69,323.61,326.3,70.46,50.00%,70.00%
Birlasoft,372.7,0.30%,370.55,"4,95,999","10,350.70",21.89,19.14,624.35,331,6.49%,-7.74%,-32.21%,34.06%,106.31%,2.98,1.74%,20.49%,19.59%,23.05,367.32,414.03,54.95,75.80%,80.00%
